candidate_id,rank,score,reasoning
CAND_0020708,54,71.1643,"Search Engineer with 4.2 years of experience. Strong skillset in NLP, Python, Elasticsearch. Based in Indore, Madhya Pradesh with 84% response rate."
CAND_0076163,55,70.6407,"NLP Engineer with 6.9 years of experience. Strong skillset in Weaviate, PyTorch, Sentence Transformers. Based in Chandigarh, Chandigarh with 84% response rate."
CAND_0015578,56,70.5416,"AI Engineer with 5.4 years of experience. Strong skillset in Embeddings, NLP, Sentence Transformers. Based in Delhi, Delhi with 65% response rate."
CAND_0093912,57,70.4774,"Senior Data Scientist with 5.3 years of experience. Strong skillset in Milvus, Embeddings, Vector Search. Based in Chandigarh, Chandigarh with 66% response rate."
CAND_0072660,58,70.1573,"Machine Learning Engineer with 7.1 years of experience. Strong skillset in LoRA, PyTorch, Information Retrieval. Based in Berlin with 53% response rate."
CAND_0082086,59,70.0638,"Senior Software Engineer (ML) with 6.0 years of experience. Strong skillset in FAISS, Pinecone, PyTorch. Based in Delhi, Delhi with 85% response rate."
CAND_0058688,60,69.803,"AI Engineer with 6.7 years of experience. Strong skillset in Embeddings, TensorFlow, Information Retrieval. Based in Berlin with 74% response rate."
CAND_0060054,61,69.7872,"AI Engineer with 6.4 years of experience. Strong skillset in TensorFlow, Weaviate, FAISS. Based in Jaipur, Rajasthan with 86% response rate."
CAND_0051630,62,69.7469,"Machine Learning Engineer with 6.0 years of experience. Strong skillset in Elasticsearch, Embeddings, Python. Based in Kolkata, West Bengal with 51% response rate."
CAND_0049896,63,69.4021,"Search Engineer with 7.3 years of experience. Strong skillset in Sentence Transformers, PyTorch, Information Retrieval. Based in Vizag, Andhra Pradesh with 43% response rate."
CAND_0095528,64,69.3715,"Senior Data Scientist with 5.3 years of experience. Strong skillset in OpenSearch, PyTorch, Vector Search. Based in Indore, Madhya Pradesh with 55% response rate."
CAND_0096142,65,69.3153,"Applied ML Engineer with 5.0 years of experience. Strong skillset in LoRA, Weaviate, Pinecone. Based in Hyderabad, Telangana with 84% response rate."
CAND_0041610,66,69.1985,"Recommendation Systems Engineer with 6.7 years of experience. Strong skillset in LoRA, Elasticsearch, OpenSearch. Based in Indore, Madhya Pradesh with 52% response rate."
CAND_0061265,67,69.1157,"Recommendation Systems Engineer with 6.6 years of experience. Strong skillset in Qdrant, Vector Search, QLoRA. Based in Delhi, Delhi with 94% response rate."
CAND_0067866,68,68.9478,"Senior Software Engineer (ML) with 6.4 years of experience. Strong skillset in Embeddings, Elasticsearch, LoRA. Based in Noida, Uttar Pradesh with 79% response rate."
CAND_0027801,69,68.5657,"NLP Engineer with 7.4 years of experience. Strong skillset in FAISS, Milvus, QLoRA. Based in Hyderabad, Telangana with 65% response rate."
CAND_0089552,70,68.5276,"Machine Learning Engineer with 6.0 years of experience. Strong skillset in Weaviate, TensorFlow, Qdrant. Based in Kolkata, West Bengal with 49% response rate."
CAND_0044222,71,68.4904,"AI Engineer with 7.7 years of experience. Strong skillset in Vector Search, OpenSearch, Qdrant. Based in Vizag, Andhra Pradesh with 60% response rate."
CAND_0027691,72,68.4894,"NLP Engineer with 6.5 years of experience. Strong skillset in LoRA, PEFT, Weaviate. Based in Pune, Maharashtra with 68% response rate."
CAND_0069905,73,68.1644,"Applied ML Engineer with 6.6 years of experience. Strong skillset in LoRA, Sentence Transformers, TensorFlow. Based in Bhubaneswar, Odisha with 78% response rate."
CAND_0093193,74,67.9715,"Senior Machine Learning Engineer with 7.9 years of experience. Strong skillset in Ranking Systems, Qdrant, OpenSearch. Based in Bangalore, Karnataka with 61% response rate."
CAND_0015528,75,67.8746,"Applied ML Engineer with 7.4 years of experience. Strong skillset in Docker, Weaviate, TensorFlow. Based in Coimbatore, Tamil Nadu with 53% response rate."
CAND_0080766,76,67.8034,"Staff Machine Learning Engineer with 8.8 years of experience. Strong skillset in LoRA, Open-source ML libraries, Information Retrieval Systems. Based in Coimbatore, Tamil Nadu with 66% response rate."
CAND_0010257,77,67.7995,"Senior Data Scientist with 6.5 years of experience. Strong skillset in Milvus, TensorFlow, Python. Based in Noida, Uttar Pradesh with 72% response rate."
CAND_0064270,78,67.7783,"Applied ML Engineer with 4.2 years of experience. Strong skillset in PyTorch, Sentence Transformers, Embeddings. Based in Pune, Maharashtra with 82% response rate."
CAND_0014440,79,67.4723,"Recommendation Systems Engineer with 6.4 years of experience. Strong skillset in Elasticsearch, Milvus, FAISS. Based in Chennai, Tamil Nadu with 64% response rate."
CAND_0010685,80,67.466,"NLP Engineer with 6.7 years of experience. Strong skillset in PyTorch, Information Retrieval, Elasticsearch. Based in Kolkata, West Bengal with 83% response rate."
CAND_0070202,81,67.4153,"Machine Learning Engineer with 5.1 years of experience. Strong skillset in Embeddings, Qdrant, LoRA. Based in Jaipur, Rajasthan with 60% response rate."
CAND_0091909,82,67.0752,"Machine Learning Engineer with 6.9 years of experience. Strong skillset in Pinecone, QLoRA, Qdrant. Based in Bangalore, Karnataka with 65% response rate."
CAND_0098454,83,66.6399,"AI Specialist with 6.6 years of experience. Strong skillset in Vector Search, NLP, OpenSearch. Based in Indore, Madhya Pradesh with 87% response rate."
CAND_0078002,84,66.1617,"Machine Learning Engineer with 6.3 years of experience. Strong skillset in FastAPI, TensorFlow, NLP. Based in Coimbatore, Tamil Nadu with 86% response rate."
CAND_0037566,85,66.0725,"Machine Learning Engineer with 6.9 years of experience. Strong skillset in Pinecone, NLP, LoRA. Based in Bangalore, Karnataka with 50% response rate."
CAND_0084819,86,66.0294,"Search Engineer with 4.5 years of experience. Strong skillset in OpenSearch, Docker, PyTorch. Based in Indore, Madhya Pradesh with 74% response rate."
CAND_0037944,87,65.9874,"Senior Data Scientist with 4.9 years of experience. Strong skillset in Vector Search, QLoRA, OpenSearch. Based in Jaipur, Rajasthan with 42% response rate."
CAND_0044883,88,65.8413,"AI Engineer with 6.3 years of experience. Strong skillset in Embeddings, QLoRA, Fine-tuning LLMs. Based in Berlin with 84% response rate."
CAND_0047721,89,65.5203,"Senior Data Scientist with 7.0 years of experience. Strong skillset in Milvus, Information Retrieval, FAISS. Based in Coimbatore, Tamil Nadu with 49% response rate."
CAND_0057736,90,65.4843,"Computer Vision Engineer with 6.2 years of experience. Strong skillset in Weaviate, Information Retrieval, Qdrant. Based in Coimbatore, Tamil Nadu with 92% response rate."
CAND_0033179,91,65.4309,"AI Research Engineer with 6.9 years of experience. Strong skillset in FastAPI, OpenSearch, PyTorch. Based in Ahmedabad, Gujarat with 84% response rate."
CAND_0083852,92,65.1772,"Data Scientist with 6.0 years of experience. Strong skillset in Qdrant, QLoRA, Pinecone. Based in Ahmedabad, Gujarat with 85% response rate."
CAND_0040117,93,65.155,"Recommendation Systems Engineer with 6.5 years of experience. Strong skillset in Embeddings, FAISS, LoRA. Based in Vizag, Andhra Pradesh with 66% response rate."
CAND_0061339,94,64.8533,"Search Engineer with 4.2 years of experience. Strong skillset in Information Retrieval, Milvus, TensorFlow. Based in Chandigarh, Chandigarh with 90% response rate."
CAND_0092245,95,64.6425,"Senior Data Scientist with 4.1 years of experience. Strong skillset in Embeddings, FAISS, Qdrant. Based in Coimbatore, Tamil Nadu with 50% response rate."
CAND_0043228,96,64.3701,"Applied ML Engineer with 6.8 years of experience. Strong skillset in NLP, FastAPI, Vector Search. Based in Chennai, Tamil Nadu with 41% response rate."
CAND_0052335,97,64.3207,"Applied ML Engineer with 6.4 years of experience. Strong skillset in PyTorch, NLP, Sentence Transformers. Based in Berlin with 79% response rate."
CAND_0087630,98,64.3002,"AI Engineer with 7.2 years of experience. Strong skillset in Elasticsearch, NLP, QLoRA. Based in Gurgaon, Haryana with 45% response rate."
CAND_0042100,99,64.1098,"Machine Learning Engineer with 7.3 years of experience. Strong skillset in Elasticsearch, Fine-tuning LLMs, Pinecone. Based in Singapore with 87% response rate."
CAND_0070398,100,63.9947,"Machine Learning Engineer with 7.2 years of experience. Strong skillset in FAISS, Embeddings, PyTorch. Based in Kochi, Kerala with 60% response rate."
